FAILURE_TYPE,NAME,DATE,POTENTIAL_PRICE,POTENTIAL_DATA,STATUS
Low,MI8X5UK0MW,2023-12-04,4234,2025-02-12,UNREPAIRABLE
High,A9S1E80EN4,2024-04-21,4234,2024-07-25,NEW
Low,WTZ4SSE70C,2023-11-01,7234,2024-11-07,NEW
Critical,3DBBWW10XM,2024-01-27,8053,2025-03-24,FINISHED
High,FYD0TT02YG,2024-03-19,735,2024-07-23,IN_PROGRESS
Mild,JNRHW59D47,2023-11-12,4971,2024-08-26,NEW
High,4FD26WROK0,2023-11-01,3397,2024-07-06,UNREPAIRABLE
Low,E46WQB7NIN,2024-03-17,5585,2024-12-19,FINISHED
Mild,YDR2AA4JF1,2023-12-04,9033,2024-06-24,UNREPAIRABLE
Low,FJT02HRFOC,2024-04-12,3023,2025-01-14,UNREPAIRABLE
Mild,FA8NQR1PTX,2024-02-21,6031,2024-10-27,FINISHED
Low,UOK9CA46FZ,2024-02-02,8122,2025-01-08,FINISHED
Low,4QB3K195B1,2024-01-11,2485,2025-03-12,IN_PROGRESS
High,GO1X1LE85P,2024-02-16,970,2025-01-28,IN_PROGRESS
Mild,KQ1BGDUFU0,2023-11-28,8449,2024-08-17,UNREPAIRABLE
High,ZTWB1IGLZI,2024-04-19,2774,2024-10-16,IN_PROGRESS
Mild,XAZL9N10AJ,2023-11-23,3422,2024-07-21,IN_PROGRESS
Mild,6AUCF2FZN2,2024-01-31,9503,2025-04-01,IN_PROGRESS
Mild,FS7MUWYSBC,2024-04-10,1128,2024-07-30,NEW
Low,WELRGS80GN,2023-10-15,6814,2024-07-27,UNREPAIRABLE
Critical,3W41ZBF89G,2023-11-02,8919,2024-11-18,FINISHED
High,7JJ0MM8YKJ,2023-10-25,8410,2024-05-18,IN_PROGRESS
High,IOGVUFPWDW,2024-03-17,8054,2025-01-29,NEW
Critical,M9O3NHX464,2023-12-06,711,2024-07-08,UNREPAIRABLE
High,TJ57BSIHHM,2023-11-05,5708,2024-07-27,UNREPAIRABLE
Critical,1AS453XITU,2024-02-10,2219,2024-10-17,FINISHED
Critical,6M9L156PTU,2023-11-06,6605,2024-05-04,UNREPAIRABLE
Low,GJVQ3Q7BUD,2024-04-15,5409,2024-08-31,UNREPAIRABLE
Mild,GBR4MICF71,2024-04-18,3102,2025-01-30,IN_PROGRESS
Critical,ZQCEHVMNQR,2023-10-27,6183,2024-06-11,UNREPAIRABLE
High,9B62F5JH1I,2023-11-04,6930,2025-01-05,UNREPAIRABLE
Critical,0PXHSWQD3H,2024-02-02,7509,2024-08-18,UNREPAIRABLE
Low,16WKRXV1QB,2024-04-03,1339,2024-11-05,NEW
Mild,GNL1DEN9LS,2024-04-27,6211,2025-02-25,UNREPAIRABLE
High,FAYKJUFKLM,2023-12-26,3449,2024-11-16,IN_PROGRESS
